wx,wy,wz,dx,dy,dz,ptot,ColArySize,NumColl,cdens,radius,sidelen
1,1,1,117649,1,1,117648,8,0,0.5,0.2,26
1,1,1,117649,1,1,117648,27,0,0.5,0.15,18
1,1,1,117649,1,1,117648,64,0,0.5,0.11,14
1,1,1,117649,1,1,117648,125,0,0.5,0.09,11
1,1,1,117649,1,1,117648,216,0,0.5,0.07,10
1,1,1,117649,1,1,117648,343,0,0.5,0.06,8
1,1,1,117649,1,1,117648,729,0,0.5,0.05,7
1,1,1,117649,1,1,117648,1331,0,0.5,0.04,6
1,1,1,117649,1,1,117648,3375,0,0.5,0.03,5
1,1,1,117649,1,1,117648,12167,0,0.5,0.02,4
1,1,1,117649,1,1,117648,97336,0,0.5,0.00999997,3
